10 g monofilament test | ['Concept']
1500 rule | ['Concept']
1800 rule | ['Concept']
ACE inhibitors | ['Drug']
ARBs | ['Drug']
ASCVD | ['Disease']
Acidemia | ['Disease']
Acidosis, Lactic | ['Disease']
Acromegaly | ['Disease']
Acute kidney injury | ['Disease']
Agitation | ['Symptom']
Alcohol Use Disorder | ['Disease']
Amputation of lower limb | ['Concept']
Amylin Analog | ['Drug']
Arthralgia | ['Symptom']
Atherosclerosis | ['Disease']
Atherosclerotic cardiovascular disease risk assessment score | ['Disease']
Autoantibodies | ['Biomarker']
Autoimmune liver disease | ['Disease']
Autoimmune pancreatic beta-cell destruction | ['Disease']
Automated insulin delivery systems | ['Concept']
Bacterial Infections | ['Disease']
Basal-bolus insulin | ['Concept']
Biguanides | ['Drug']
Blood glucose monitoring (regime/therapy) | ['Concept']
Blurred vision | ['Symptom']
Brain natriuretic peptide measurement | ['Concept']
Brittle diabetes | ['Disease']
COVID-19 Virus Disease | ['Disease']
Carbohydrates | ['Nutrient']
Cardiovascular Diseases | ['Disease']
Celiac Disease | ['Disease']
Chronic Kidney Diseases | ['Disease']
Chronic hyperglycemia | ['Disease']
Circulatory impairment | ['Disease', 'Symptom']
Complications of Diabetes Mellitus | ['Disease']
Confusion | ['Symptom']
Continuous subcutaneous infusion of insulin | ['Concept']
Continuous subcutaneous insulin infusion pumps | ['Concept']
Critical Illness | ['Disease']
Cushing Syndrome | ['Disease']
Cystic fibrosis-related diabetes | ['Disease']
Cytokine Release Syndrome | ['Disease']
DR3-DQ2.5 haplotype | ['Biomarker']
DR4-DQ8 haplotype | ['Biomarker']
Debridement | ['Concept']
Dehydration | ['Disease']
Diabetes Mellitus | ['Disease']
Diabetes Mellitus, Insulin-Dependent | ['Disease']
Diabetes Mellitus, Non-Insulin-Dependent | ['Disease']
Diabetes mellitus diet education | ['Concept']
Diabetes mellitus type 1 stage 1 | ['Disease']
Diabetes mellitus type 1 stage 2 | ['Disease']
Diabetes mellitus type 1 stage 3 | ['Disease']
Diabetes, Autoimmune | ['Disease']
Diabetic Ketoacidosis | ['Disease']
Diarrhea | ['Symptom']
Dipeptidyl peptidase-4 inhibitor | ['Drug']
Dipeptidyl-Peptidase IV Inhibitors | ['Drug']
Dizziness | ['Symptom']
Dysglycemia | ['Symptom']
Dyspepsia | ['Symptom']
Euglycemic diabetic ketoacidosis | ['Disease']
Examination of foot | ['Concept']
Exercise | ['Concept']
Falsely normal HbA1C values | ['Concept']
Family history of diabetes mellitus type 1 | ['Concept']
Fatigue | ['Symptom']
Fever | ['Symptom']
Flatulence | ['Symptom']
Formal diabetes education | ['Concept']
Fructosamine monitoring | ['Concept']
GIP/GLP-1 receptor agonist | ['Drug']
Gastrointestinal side effects | ['Symptom']
Gastroparesis | ['Disease']
Genetic markers | ['Biomarker']
Gestational Diabetes | ['Disease']
Glucagon-Like Peptide-1 Receptor Agonists | ['Drug']
Glucocorticoids | ['Drug']
Glucose | ['Nutrient']
Glucose level - finding | ['Concept']
Glucose tolerance test | ['Concept']
Glycemic Control | ['Concept']
HbA1C values | ['Concept']
HbS disease | ['Disease']
Headache | ['Symptom']
Heart failure | ['Disease']
Hemochromatosis | ['Disease']
Hemoglobin A1c measurement | ['Concept']
Hemoglobinopathies | ['Disease']
Hyperinsulinism | ['Symptom']
Hyperosmolar Hyperglycemic State | ['Disease']
Hypoglycemia | ['Disease', 'Symptom']
Hypokalemia | ['Disease']
Hypoxia | ['Disease']
IV insulin infusion | ['Concept']
Immune dysfunction | ['Disease']
Immunosuppressive Agents | ['Drug']
Impaired glucose tolerance (disorder) | ['Disease']
Inappropriate ADH Syndrome | ['Disease']
Inhaled regular insulin | ['Drug']
Insulin | ['Drug']
Insulin Aspart | ['Drug']
Insulin Resistance | ['Symptom']
Insulin Secretagogues | ['Drug']
Insulin injections | ['Concept']
Insulin pumps | ['Concept']
Insulin shock therapy | ['Concept']
Insulin, Long-Acting | ['Drug']
Intensive insulin therapy | ['Concept']
Ketoacidosis | ['Disease']
Kidney Diseases | ['Disease']
Latent Autoimmune Diabetes in Adults | ['Disease']
Latent autoimmune diabetes of adulthood | ['Disease']
Latex Hypersensitivity | ['Disease']
Lipohypertrophy | ['Disease']
Liver Failure, Acute | ['Symptom']
Local allergic reactions | ['Symptom']
Long-term complications of diabetes mellitus | ['Disease']
Low density lipoprotein cholesterol measurement | ['Concept']
Macrovascular disease | ['Disease']
Metabolic stress hyperglycemia | ['Disease']
Microvascular Angina | ['Disease']
Microvascular complications of type 1 diabetes | ['Disease']
Monoclonal Antibodies | ['Drug']
Monogenic diabetes | ['Disease']
Myalgia | ['Symptom']
Myocardial Infarction | ['Disease']
Nausea | ['Symptom']
Neonatal diabetes mellitus | ['Disease']
Nephropathy | ['Disease']
Neuropathy | ['Disease']
No symptoms of nervousness | ['Symptom']
Non-alcoholic Fatty Liver Disease | ['Disease']
Obesity | ['Disease']
Oral Administration | ['Concept']
Oral Glucose Tolerance Test | ['Concept']
Oral antihyperglycemic medications | ['Drug']
Osteomyelitis | ['Disease']
Palpitations | ['Symptom']
Pancreas | ['Concept']
Pancreas Transplantation | ['Concept']
Pancreatic beta-cell destruction | ['Concept']
Pancreatitis | ['Disease']
Pancreatogenous diabetes | ['Disease']
Plasma Glucose Measurement | ['Concept']
Plasma fasting glucose measurement | ['Concept']
Plasma fructosamine | ['Concept']
Polydipsia | ['Symptom']
Polyuria | ['Symptom']
Portal vein structure | ['Concept']
Pre-existing diabetes mellitus, insulin-dependent | ['Disease']
Pre-existing malnutrition-related diabetes mellitus | ['Disease']
Prediabetes syndrome | ['Disease']
Regular physical activity | ['Concept']
Retinopathy | ['Disease']
SGLT-2 inhibitors | ['Drug']
SGLT2 inhibitors | ['Drug']
Seizures | ['Symptom']
Severe dehydration | ['Disease']
Stroke | ['Disease']
Subcutaneous Injections | ['Concept']
Sugars | ['Nutrient']
Sulfonylurea Compounds | ['Drug']
Thiazolidinediones | ['Drug']
Thyroid Diseases | ['Disease']
Tirzepatide in combination with pioglitazone | ['Concept']
Type 1 diabetes | ['Disease']
Type 2 diabetes | ['Disease']
Vascular complications of Diabetes Mellitus | ['Disease']
Vomiting | ['Symptom']
Weight Gain | ['Symptom']
absent or severely deficient insulin production | ['Symptom']
acute worsening of diabetic complications | ['Disease']
additional boluses | ['Concept']
additional doses of long-acting insulin | ['Concept']
albuminuria | ['Concept']
alogliptin | ['Drug']
alpha-Glucosidase Inhibitors | ['Drug']
angiotensin II receptor blocker | ['Drug']
anti-CD3 antibody | ['Drug']
antibiotics | ['Drug']
antibodies to glutamic acid decarboxylase | ['Biomarker']
antibodies to insulin | ['Biomarker']
antibodies to islet antigen 2 | ['Biomarker']
antibodies to zinc transporter 8 | ['Biomarker']
aspiration in patients undergoing general anesthesia | ['Concept']
aspirin | ['Drug']
atherosclerosis of large vessels | ['Disease']
atorvastatin | ['Drug']
autoimmune comorbidities | ['Disease']
autoimmune destruction of beta cells | ['Symptom']
autoimmune response | ['Concept']
basal-bolus dosing | ['Concept']
basal-bolus insulin therapy | ['Concept']
beta-cell destruction | ['Concept']
biguanide | ['Concept']
bladder cancer | ['Disease']
blood glucose | ['Concept']
blood glucose levels | ['Concept']
canagliflozin | ['Drug']
carbohydrate counting | ['Concept']
carbohydrate counting approach | ['Concept']
carbohydrate exchange system | ['Concept']
carbohydrate ingestion | ['Concept']
changing insulin preparations | ['Concept']
chlorpropamide | ['Drug']
chronic difficulty maintaining acceptable glucose levels | ['Symptom']
chronic kidney disease in patients with diabetes and reduced glomerular filtration rate or albuminuria | ['Disease']
circulating anti-insulin antibodies | ['Biomarker']
clinical symptoms | ['Symptom']
complications | ['Disease']
comprehensive foot examination | ['Concept']
continuous glucose monitoring systems | ['Concept']
counter-regulatory response | ['Concept']
counter-regulatory response to hypoglycemia | ['Concept']
dasiglucagon | ['Drug']
death | ['Concept']
decreased glomerular filtration rate | ['Concept']
delay in resuming insulin regimen | ['Concept']
destruction of pancreatic beta-cells, progresses subclinically over months or years in, type 1 diabetes mellitus | ['Disease']
diabetes self-management education and support | ['Concept']
diabetes treatment regimens | ['Concept']
diet | ['Nutrient']
diet rich in whole foods | ['Nutrient']
dietary management | ['Concept']
difficulty with glucose control | ['Symptom']
donislecel | ['Drug']
dramatic, recurrent swings in glucose levels | ['Symptom']
elevated liver enzymes | ['Concept']
endocrinopathy | ['Disease']
erratic absorption of dietary carbohydrates | ['Symptom']
estimated glomerular filtration rate | ['Concept']
ezetimibe | ['Drug']
false elevations of HbA1C | ['Symptom']
fasting plasma glucose (FPG) level | ['Concept']
finerenone | ['Drug']
folate deficiency anemia | ['Disease']
fractures | ['Symptom']
fungal infections | ['Disease']
generalized allergic reaction | ['Symptom']
genetic defects | ['Concept']
glimepiride | ['Drug']
glipizide | ['Drug']
glucagon | ['Drug']
glucose | ['Drug']
glucose intolerance | ['Symptom']
gluten intake | ['Nutrient']
glyburide | ['Drug']
glycemic control less predictable | ['Symptom']
hepatic glucose production | ['Concept']
high blood glucose level | ['Concept']
high-intensity statin | ['Drug']
hospitalization | ['Concept']
human insulins | ['Drug']
hybrid closed-loop systems | ['Concept']
hyperglycemia | ['Concept']
hyperglycemia in hospital | ['Disease']
hypersensitivity desensitization | ['Concept']
hypoglycemia symptoms | ['Symptom']
hypoglycemic symptoms | ['Symptom']
idiopathic type 1 diabetes | ['Disease']
impaired fasting glucose regulation | ['Disease']
inadequate insulin concentrations, are not sufficient to control, plasma glucose levels in patients with type 1 diabetes mellitus | ['Concept']
