"relation","definition"
"has_subtype","The subject entity is a more specific type or subtype of the object entity. Example: Type 1 Diabetes Mellitus has_subtype Diabetes Mellitus."
"is_subtype_of","The subject entity is a specific subtype or variant that falls under the broader disease category of the object entity. Example: Diabetic Ketoacidosis is_subtype_of Diabetes Mellitus."
"member_of","The subject entity is a member of a broader disease group or classification specified by the object entity. Example: Diabetes Mellitus member_of Endocrine System Diseases."
"cause_of","The subject entity (a condition, gene, or substance) is a direct cause of the disease or complication specified by the object entity. Example: Insulin deficiency cause_of Diabetic Ketoacidosis."
"manifestation_of","The subject entity (a sign, symptom, or complication) is a direct clinical manifestation of the disease specified by the object entity. Example: Diabetic Neuropathy manifestation_of Diabetes Mellitus."
"may_be_finding_of_disease","The subject entity (a clinical or laboratory finding) may be observed as a characteristic finding in patients with the disease specified by the object. Example: Hyperglycemia may_be_finding_of_disease Diabetes Mellitus."
"associated_finding_of","The subject entity is a finding characteristically associated with the disease or condition specified by the object entity. Example: Glucosuria associated_finding_of Diabetes Mellitus."
"may_be_treated_by","The subject disease may be managed, controlled, or treated using the drug, procedure, or intervention specified by the object entity. Example: Type 2 Diabetes Mellitus may_be_treated_by Metformin."
"has_contraindicated_drug","The subject disease or condition has a drug that is contraindicated — it should be avoided because it may cause harm in patients with this condition. Example: Diabetic Ketoacidosis has_contraindicated_drug Metformin."
"has_finding_site","The subject disease has its primary pathological finding or lesion located at the anatomical site specified by the object entity. Example: Diabetic Retinopathy has_finding_site Retina."
"disease_has_associated_anatomic_site","The subject disease is associated with pathological changes at the anatomical site or organ specified by the object entity. Example: Diabetic Nephropathy disease_has_associated_anatomic_site Kidney."
"disease_has_primary_anatomic_site","The subject disease originates from or primarily affects the anatomical site specified by the object entity. Example: Diabetes Mellitus disease_has_primary_anatomic_site Pancreas."
"disease_has_normal_cell_origin","The subject disease originates from or is associated with the normal cell type specified by the object entity. Example: Type 1 Diabetes Mellitus disease_has_normal_cell_origin Beta Cell."
"disease_has_normal_tissue_origin","The subject disease originates from or is associated with the normal tissue type specified by the object entity. Example: Diabetes Mellitus disease_has_normal_tissue_origin Pancreatic Islet."
"disease_has_associated_gene","The subject disease has a known genetic association or is linked to the gene or genome specified by the object entity. Example: Type 1 Diabetes Mellitus disease_has_associated_gene INS."
"is_marked_by_gene_product","The subject disease is characterized, diagnosed, or identified by the presence or altered expression of the gene product or biomarker specified by the object entity. Example: Type 1 Diabetes Mellitus is_marked_by_gene_product Insulin."
"associated_with_malfunction_of_gene_product","The subject disease is associated with a malfunction, mutation, or dysfunction of the gene product specified by the object entity. Example: Diabetes Mellitus associated_with_malfunction_of_gene_product Insulin Receptor."
"associated_with","The subject disease or condition is clinically or pathologically associated with the entity specified by the object. Example: Diabetes Mellitus associated_with Obesity."
"associated_condition_of","The subject entity is a known associated condition that commonly co-occurs with the disease specified by the object entity. Example: Hypertension associated_condition_of Diabetes Mellitus."
"may_be_associated_disease_of_disease","The subject disease may be epidemiologically or pathophysiologically associated with the disease specified by the object entity. Example: Coronary Artery Disease may_be_associated_disease_of_disease Diabetes Mellitus."
"clinically_associated_with","The subject entity has a demonstrated clinical relationship or co-occurrence with the entity specified by the object in clinical practice. Example: Insulin Resistance clinically_associated_with Type 2 Diabetes Mellitus."
"co-occurs_with","The subject disease or condition tends to appear simultaneously in the same patient or population as the condition specified by the object entity. Example: Dyslipidemia co-occurs_with Diabetes Mellitus."
"related_to","The subject entity has a general medical or biological relationship with the entity specified by the object. Used when a more specific relation is not defined. Example: Glucose Intolerance related_to Diabetes Mellitus."
"component_of","The subject disease or condition is a component or part of the larger disease complex or syndrome specified by the object entity. Example: Hyperglycemia component_of Metabolic Syndrome."
"differential_diagnosis_of","The subject disease should be considered in the differential diagnosis when the disease specified by the object is suspected, as they share overlapping features. Example: Diabetes Insipidus differential_diagnosis_of Diabetes Mellitus."
"has_evaluation","The subject disease is assessed or monitored using the clinical evaluation, test, or measurement specified by the object entity. Example: Diabetes Mellitus has_evaluation HbA1c Test."
"is_classified_as","The subject entity is formally classified or categorized under the broader category or system specified by the object entity. Example: Diabetes Mellitus is_classified_as Metabolic Disease."
