relation,definition
is a,"Indicates that the subject is a specific type or subclass of the parent object (which may be a disease, condition, drug, device, nutrient, or treatment procedure), implying a hierarchical taxonomic relationship where the subject shares characteristics and attributes with the parent object."
has anatomic site,"Indicates that the subject disease, condition, or pathological process occurs at the object anatomical site or location in the body. (e.g., Insulin Deficiency has anatomic site Pancreatic Islet Cells)."
cause of,"Indicates that the subject factor, agent, or pathological process is the underlying cause of the object condition or disease. (e.g., Sedentary Lifestyle is a cause of Obesity)."
has finding,"Indicates that the subject condition or disease state is characterized by the presence of the object clinical finding or diagnostic result. (e.g., Diabetes Mellitus Type 2 is characterized by Hyperglycemia)."
has biomarker,"Indicates that the subject condition or disease state is associated with the presence or measurement of the object biomarker, which is a measurable indicator of the subject's physiological or pathological state. (e.g., Type 2 Diabetes is associated with the presence of Hemoglobin A1c)."
co occurs with,"Indicates that the subject condition or symptom occurs simultaneously or in close temporal proximity with the object condition or symptom, suggesting a potential association or correlation between the two. (e.g., Hypoglycemia occurs with Insulin Overdose)."
treated by,"Indicates that the subject disease, symptom, or abnormal clinical metric is managed, controlled, or alleviated through the application or administration of the object therapeutic intervention (which may be a drug, medical device, nutrient, or treatment procedure)."
has adverse effect,"Indicates that the subject drug or therapeutic treatment causes the object negative clinical consequence or adverse outcome. (e.g., Metformin has adverse effect on Vitamin B12 levels)."
contraindicated with,"Indicates that the subject therapeutic drug or treatment is not recommended for use in patients with the object medical condition due to potential adverse effects or interactions. (e.g., Pioglitazone is contraindicated with Heart Failure)."
preferred over,"Indicates that the subject is a preferred therapeutic option over the object for the management of diabetes mellitus. (e.g., Metformin is a preferred therapeutic option over Pioglitazone for the management of Type 2 Diabetes)."
has evaluation,"Indicates that the subject is evaluated or assessed by the object clinical assessment or diagnostic test (e.g., HbA1c level is evaluated by Glycated Hemoglobin Test)."
has titration rule,"Indicates that the subject drug or therapeutic treatment regimen is governed by the object titration rule, which specifies the incremental adjustments to be made to the dosing or administration in response to changes in the patient's glucose levels or other clinical parameters."
increases risk of,"Indicates that the subject condition, behavior, or risk factor elevates the probability of developing the object disease or complication. (e.g., Obesity increases risk of Type 2 Diabetes)."
administered via,"Indicates that the subject drug or substance is administered to the patient via the object treatment procedure or route. (e.g., Insulin is administered via Subcutaneous Injection)."
dispenses,"Indicates that the subject medical device or treatment procedure delivers or dispenses the object drug or therapeutic agent. (e.g., Insulin Pump dispenses Insulin)."
treats,"Indicates that the subject therapeutic intervention manages, controls, or alleviates the object disease, symptom, or abnormal clinical metric."
associated with,"Indicates that there is a statistical, genetic, or clinical correlation or association between the subject and the object."
protects against,"Indicates that the subject agent, factor, or gene product prevents, protects against, or reduces the risk of the object disease or condition."
interacts with,"Indicates that the subject drug or chemical entity interacts with the object drug or chemical entity, potentially altering its effect."
coadministered with,"Indicates that the subject drug or chemical is administered concurrently or in combination with the object drug or chemical."
binds to,"Indicates that the subject gene, protein, or chemical binds physically or chemically to the object entity."
compared with,"Indicates that the subject entity is compared with the object entity in a clinical study or evaluation."
converted to,"Indicates that the subject entity is metabolically or chemically converted into the object entity."
