Disease,"A Disease in the context of structured clinical knowledge graphs for diabetes is a clinically recognized condition characterized by a specific set of symptoms, signs, and laboratory findings that result from an underlying pathological process, which may be acute, chronic, or recurrent, and is typically associated with a distinct set of clinical manifestations, diagnostic criteria, and treatment options."
Symptom,"A Symptom in the context of structured clinical knowledge graphs for diabetes is a subjective experience or perception reported by a patient that indicates an abnormality or deviation from their normal state, encompassing a wide range of clinical concepts including but not limited to pain, discomfort, numbness, tingling, and other sensory disturbances, as well as changes in appetite, thirst, urination, and other bodily functions."
Drug,"A Drug in the context of structured clinical knowledge graphs for diabetes is a pharmacological agent used to prevent, diagnose, or treat a condition or disease related to diabetes, including medications for blood glucose control, insulin therapy, and management of diabetes-related complications."
Treatment Procedure,"A Treatment Procedure in the context of diabetes is a clinical entity that represents a specific intervention or action taken by a healthcare provider to manage or treat a patient's diabetes, including but not limited to medication administration, surgical interventions, lifestyle modifications, and other therapeutic interventions."
Dosage Value,"A Dosage Value is a clinical entity representing a specific amount of a medication or substance administered to a patient, typically expressed in units of measurement such as milligrams, units, or grams, and often associated with a particular frequency or duration of administration."
Clinical Metric,"A Clinical Metric is an objective, quantifiable measurement or quantitative index used in the assessment, diagnosis, or management of diabetes. (e.g., Fasting Blood Glucose, Blood Pressure, eGFR, Body Mass Index)."
Biomarker,"A Biomarker in the context of diabetes is a specific biological molecular indicator (such as a protein, antibody, gene, or metabolite) used to detect, monitor, or predict the progression of a disease state. (e.g., GAD65 autoantibodies, Islet Cell autoantibodies, C-peptide levels)."
Nutrient,"A Nutrient is a chemical substance or compound that is required by the body for growth, maintenance, and energy production, including carbohydrates, proteins, fats, vitamins, and minerals, which are essential for the management and treatment of diabetes."
Clinical Rule,"A Clinical Rule is a formally defined, computationally executable statement that encodes a specific clinical guideline, protocol, or decision-making process for diabetes management, typically involving a combination of clinical concepts, such as patient characteristics, laboratory values, and treatment options."
Risk Factor,"A Risk Factor in the context of structured clinical knowledge graphs for diabetes is a clinical concept that represents a condition, behavior, or characteristic that increases the likelihood of developing or exacerbating diabetes or its complications."
Anatomical Site,"An anatomical site in the context of structured clinical knowledge graphs for diabetes refers to a specific location or region within the human body where a particular disease process, such as diabetes-related complications, is occurring or has occurred."
